rank,planet,habitability_score,esi,hz_score,star_score,atmosphere,radius_earth,insolation_earth,eq_temp_k,star_teff_k,distance_ly
68,GJ 251 c,0.6,0.641,0.443,0.78,,1.8,0.404,216.0,3342.0,18.2
69,HD 20794 f,0.6,0.576,0.402,1.0,,2.28,0.3746,214.52,5368.0,19.6
70,K2-155 d,0.573,0.719,0.141,1.0,,1.9,1.67,381.0,4258.0,237.4
71,GJ 357 d,0.572,0.574,0.409,0.85,,2.34,0.38,219.6,3505.0,30.8
72,Kepler-186 f,0.57,0.652,0.304,0.85,,1.17,0.3,177.0,3755.0,579.2
73,TOI-4336 A b,0.57,0.71,0.269,0.78,,2.137,1.53,309.4,3307.0,73.5
74,Kepler-138 e,0.569,0.806,0.103,0.85,,0.797,1.73,292.0,3841.0,218.1
75,TOI-712 d,0.569,0.665,0.198,1.0,,2.474,1.6,313.6,4622.0,191.2
76,Kepler-61 b,0.554,0.687,0.127,1.0,,2.15,1.69,273.0,4017.0,1092.9
77,GJ 180 b,0.553,0.678,0.263,0.78,,2.43,1.5359,344.43,3371.0,38.9
78,G 261-6 b,0.551,0.825,0.069,0.78,,1.1,1.8,322.3,2907.0,34.7
79,tau Cet f,0.548,0.557,0.279,1.0,,1.81,0.2782,201.97,5310.0,11.8
80,GJ 667 C e,0.54,0.616,0.307,0.78,,1.45,0.3022,,3350.0,23.6
81,TOI-6002 b,0.54,0.75,0.132,0.78,,1.65,1.6823,321.4,3229.0,104.5
82,TOI-2095 c,0.539,0.777,0.054,0.85,,1.33,1.84,297.0,3759.0,136.7
83,Kepler-1389 b,0.535,0.709,0.044,1.0,,1.77,1.871,300.0,5078.0,1621.3
84,GJ 1002 c,0.526,0.624,0.255,0.78,,1.1,0.257,181.7,3024.0,15.8
85,Kepler-26 e,0.525,0.653,0.09,1.0,,2.41,1.753,276.0,4486.0,1093.6
86,GJ 682 b,0.524,0.57,0.319,0.78,,1.93,0.3125,281.93,3028.0,16.3
87,Proxima Cen d,0.521,0.762,0.063,0.78,,0.692,1.814,282.0,2900.0,4.2
88,K2-133 e,0.52,0.723,0.069,0.85,,1.73,1.8,296.0,3655.0,245.2
89,Kepler-1630 b,0.519,0.509,0.258,1.0,,2.19,0.26,182.0,4736.0,1080.3
90,Kepler-1090 b,0.518,0.66,0.059,1.0,,2.25,1.825,297.0,5321.0,2800.9
91,Kepler-439 b,0.517,0.66,0.057,1.0,,2.24,1.83,291.0,5431.0,2469.2
92,GJ 536 c,0.516,0.671,0.126,0.85,,2.3,1.692,290.5,3641.0,34.0
93,TOI-1752 c,0.515,0.671,0.122,0.85,,2.29,1.6973,291.0,3762.0,336.0
94,TOI-1452 b,0.509,0.731,0.069,0.78,,1.672,1.8,326.0,3185.0,99.5
95,GJ 3929 c,0.507,0.677,0.134,0.78,,2.26,1.68,317.0,3384.0,51.6
96,GJ 514 b,0.506,0.529,0.281,0.85,,2.13,0.28,202.0,3728.0,24.8
97,TRAPPIST-1 g,0.504,0.615,0.25,0.7,,1.129,0.252,197.3,2566.0,40.5
98,Kepler-1552 b,0.503,0.636,0.049,1.0,,2.47,1.854,268.0,5202.0,2508.5
99,Kepler-441 b,0.503,0.513,0.207,1.0,,1.64,0.21,189.0,4340.0,874.1
100,Kepler-1052 c,0.486,0.64,0.024,0.95,,2.3,1.96,302.0,5818.0,3077.1
